id,title,city,category,address,organizer,date,description,image_url,url
1,Fintone,SPB,COMMON,47153 Barnett Place,Eare,2017-02-22 10:08:51,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
2,Alpha,MOSCOW,COMMON,32 Northview Center,Skinte,2017-02-23 11:35:56,pede ullamcorper augue a suscipit nulla elit ac nulla sed,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
3,Home Ing,KZN,COMMON,81487 Menomonie Lane,Oyoba,2017-02-21 08:21:15,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
4,Veribet,MOSCOW,COMMON,9916 Anniversary Road,Fatz,2017-02-23 13:38:57,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
5,Konklux,EKB,COMMON,0218 Aberg Crossing,Voonyx,2017-02-20 02:16:59,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
6,Sonair,MOSCOW,COMMON,83 Mesta Pass,Fadeo,2017-02-19 17:05:45,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
7,Prodder,SPB,COMMON,32070 Ohio Drive,Skyba,2017-02-23 03:09:40,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
8,Kanlam,MOSCOW,COMMON,8 Bobwhite Road,Thoughtstorm,2017-02-23 14:16:55,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
9,Sonsing,KZN,COMMON,5 Burning Wood Drive,Riffpedia,2017-02-20 12:34:52,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
10,Job,MOSCOW,TOP,9 Alpine Trail,Mybuzz,2017-02-20 12:59:02,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,http://static.snopes.com/wordpress/wp-content/uploads/2016/02/tesla.jpg,http://ideanomics.ru/articles/8278
